ID,Question,Difficulty,A,B,C,D,Correct Answer
1,What is the main goal of software engineering?,1,Writing code as fast as possible,Developing cost effective and reliable software,Replacing computer hardware,Designing only graphical interfaces,B
2,Which of the following is a non-functional requirement?,1,Exporting reports,Login functionality,Updating user profile,System response time,D
3,What is the first phase of the software life cycle?,1,Design,Maintenance,Requirements,Integration,C
4,What do structural models describe?,1,User roles,System organization and components,Execution flow,Database performance,B
5,Which type of requirement specifies constraints on system properties like reliability and performance?,1,Non Functional,Functional,Domain,Interface,A
6,The waterfall model is best suited when?,2,Requirements change frequently,The system must be delivered in increments,Requirements are well understood and stable,The team prefers prototyping,C
7,functional requirement describes?,2,What the system should do,How fast the system should run,The system security level,Maintenance policies,A
8,"In MVC, the component responsible for handling user actions?",2,Model,View,Controller,Database,C
9,Which architectural style organizes the system into hierarchical?,2,Client-Server,Layered Architecture,Black-Box Architecture,Spiral Architecture,B
10,What is a goal in non-functional requirements?,2,A general intention of the user,A precise testable constraint,A documented error,A formal specification,A
11,What is the main disadvantage of incremental development?,3,No user feedback,System structure may degrade without refactoring,Cannot be used for large systems,Too much documentation is required,B
12,Which requirement property checks whether the requirement can actually be tested?,3,Consistency,Adaptability,Verifiability,Completeness,C
13,Which UML diagram models dynamic behavior based on events?,3,State diagram,Class diagram,Deployment diagram,Use case diagram,A
14,"In client-server architecture, what is the main drawback?",3,Too many layers,Single point of failure,Impossible to scale,No shared database,B
15,"In the MVC pattern, which component is responsible for managing the system data and business logic?",3,Model,View,Controller,Database,A
16,"What is ""architectural erosion""?",4,Design decisions that violate the original architecture,Adding new modules to outdated hardware,Upgrading the software with better documentation,Removing unused features,A
17,"In Requirements Engineering (Requirements Elicitation and Analysis), which activity resolves conflicting requirements?",4,Requirements discovery,Requirements validation,Prioritization and negotiation,Requirements documentation,C
18,What is a main practical disadvantage of layered architecture regarding interaction between layers?,4,Lower-level layers cannot provide core services,High-level layers may need to bypass intermediate layers,Layers cannot be replaced independently,Multiple layers always improve performance,B
19,What is the primary limitation of a throw away prototype in software development?,4,It can be fully optimized for performance,It often cannot be used as a basis for the production system due to incomplete functionality and degraded structure,It eliminates the need for requirements validation,It guarantees non functional requirements are fully met,B
20,"In UML interaction modeling, what is the main purpose of a sequence diagram?",4,To illustrate the sequence of interactions between actors and system objects during a use case,To show the static structure of the system classes and their associations,To define the system boundaries and context,To document the overall software architecture,A
21,What of this options is a color?,1,Red,Circel,shape,Name,A
22,"Which development methodology is characterized by breaking down work into time-boxed iterations called ""sprints""?",1,Waterfall,Scrum,Spiral Model,V-Model,B
23,What is the main difference between Validation and Verification?,1,"Validation checks ""Are we building the right product?"" while Verification checks ""Are we building the product right?""","Validation checks ""Are we building the product right?"" while Verification checks ""Are we building the right product?""","Both check the same thing, just at different stages",Validation is performed by developers and Verification by the customer,A
24,What is the primary purpose of a Design Review?,1,To fix bugs in the code,To approve the product and identify potential problems at an early stage,To test system performance,To write user documentation,B
25,"Which architectural pattern separates data presentation, business logic, and data management?",1,Client-Server,Layered Architecture,Model-View-Controller (MVC),Pipe and Filter,C
26,Which type of maintenance deals with fixing bugs and defects in software?,1,Adaptive Maintenance,Perfective Maintenance,Corrective Maintenance,Preventive Maintenance,C
27,What is the main difference between White Box Testing and Black Box Testing?,1,"White Box tests the code from inside, Black Box tests functionality from outside","White Box is done by developers, Black Box only by customers",White Box is more expensive than Black Box,There is no significant difference between them,A
28,"In Agile methods, what does the term ""refactoring"" mean?",2,Writing new code from scratch,Making improvements to code structure without changing its functionality,Testing the code,Documenting the code,B
29,"According to Lehman's Laws, what does the ""Continuing Change"" law state?",2,"A system in use must be continually adapted, otherwise it becomes progressively less useful",System complexity increases over time unless work is done to simplify it,The development rate of a system is constant throughout its life,System quality decreases over time if not maintained,A
30,Which participants are mandatory in a formal Inspection according to the methodology?,2,Only the Moderator and Producer,"Moderator, Producer, Recorder, Designer, Coder, Tester",Only the development team,Only the customer and manager,B
31,What is Cyclomatic Complexity in White Box Testing?,2,The number of lines of code,The maximum number of independent paths in the program flow graph,The number of possible bugs in the code,The runtime of the program,B
32,"What is the ""Moving Target Problem""?",2,Difficulty fixing bugs that keep changing,"Customer requirements change frequently, making development and maintenance difficult",Hardware that changes frequently,Development team turnover during the project,B
33,What is the purpose of Regression Testing?,2,To verify that new changes haven't broken existing functionality,To test system performance under load,To test system security,To test the user interface,A
34,What is the main advantage of Test-Driven Development (TDD)?,3,It reduces the need for documentation,It eliminates the need for design phase,It makes development faster in all cases,"Every code segment has at least one associated test, ensuring code coverage",D
35,"According to industrial research, what is the relative cost of fixing a bug discovered during Operation by the customer, compared to fixing it during Requirements phase?",3,10 times,40 times,110 times,250 times,C
36,"According to Pressman's ""golden guidelines"", what is the optimal number of members for a Design Review team?",3,2-3 members,3-5 members,5-8 members,8-10 members,B
37,What is the definition of Architectural Erosion?,3,Introduction of design decisions that violate the prescriptive architecture,Introduction of design decisions not included in the prescriptive architecture but not violating it,Changing architecture according to new requirements,Poor documentation of architecture,A
38,"According to statistics, what percentage of the budget in large companies is devoted to maintenance and evolution of existing systems versus developing new software?",3,About 30%,About 50%,The vast majority of the budget,About 20%,C
39,In which of the following cases is Test-Driven Development (TDD) most effective?,3,When requirements are clear and stable,When working in small teams with frequently changing requirements,When the system is very large and complex,Only in critical systems,B
40,What is the key principle of Model-Driven Engineering (MDE)?,4,Using UML diagrams for documentation only,"Models rather than programs are the principal outputs, with code generated automatically from models",Creating multiple prototypes before implementation,Focusing on data models only,B
